"","lemma","total","v1s","v1sFreq","v1p","v1pFreq","v2s","v2sFreq","v2p","v2pFreq","v3s","v3sFreq","v3p","v3pFreq"
"747","exerceo1",11,0,0,0,0,0,0,0,0,8,0.727272727272727,3,0.272727272727273
"758","existimo1",11,2,0.181818181818182,0,0,1,0.0909090909090909,0,0,1,0.0909090909090909,7,0.636363636363636
"796","exspecto1",10,1,0.1,0,0,4,0.4,0,0,0,0,5,0.5
"817","facio",48,14,0.291666666666667,1,0.0208333333333333,5,0.104166666666667,1,0.0208333333333333,24,0.5,3,0.0625
"818","facio1",135,19,0.140740740740741,4,0.0296296296296296,12,0.0888888888888889,5,0.037037037037037,65,0.481481481481481,30,0.222222222222222
"829","fero",21,3,0.142857142857143,0,0,1,0.0476190476190476,0,0,13,0.619047619047619,4,0.19047619047619
"830","fero1",38,8,0.210526315789474,0,0,4,0.105263157894737,2,0.0526315789473684,15,0.394736842105263,9,0.236842105263158
"838","fio1",30,1,0.0333333333333333,1,0.0333333333333333,1,0.0333333333333333,0,0,25,0.833333333333333,2,0.0666666666666667
"846","fleo1",11,1,0.0909090909090909,0,0,2,0.181818181818182,0,0,4,0.363636363636364,4,0.363636363636364
"866","fugio1",24,1,0.0416666666666667,1,0.0416666666666667,4,0.166666666666667,0,0,15,0.625,3,0.125
"878","gero1",28,4,0.142857142857143,2,0.0714285714285714,2,0.0714285714285714,0,0,17,0.607142857142857,3,0.107142857142857
"886","habeo",36,4,0.111111111111111,1,0.0277777777777778,3,0.0833333333333333,0,0,23,0.638888888888889,5,0.138888888888889
"887","habeo1",238,28,0.117647058823529,18,0.0756302521008403,19,0.0798319327731092,7,0.0294117647058824,118,0.495798319327731,48,0.201680672268908
"889","habito1",12,0,0,1,0.0833333333333333,1,0.0833333333333333,1,0.0833333333333333,5,0.416666666666667,4,0.333333333333333
"994","inquam",72,0,0,0,0,1,0.0138888888888889,0,0,71,0.986111111111111,0,0
"995","inquam1",94,4,0.0425531914893617,0,0,1,0.0106382978723404,0,0,89,0.946808510638298,0,0
"1021","intellego1",16,7,0.4375,0,0,3,0.1875,2,0.125,3,0.1875,1,0.0625
"1042","intro2",20,2,0.1,2,0.1,0,0,0,0,10,0.5,6,0.3
"1052","invenio1",22,5,0.227272727272727,2,0.0909090909090909,3,0.136363636363636,0,0,8,0.363636363636364,4,0.181818181818182
"1068","jaceo1",14,0,0,0,0,3,0.214285714285714,0,0,8,0.571428571428571,3,0.214285714285714
"1073","jubeo",17,2,0.117647058823529,0,0,0,0,0,0,14,0.823529411764706,1,0.0588235294117647
"1074","jubeo1",57,9,0.157894736842105,3,0.0526315789473684,1,0.0175438596491228,0,0,41,0.719298245614035,3,0.0526315789473684
"1077","judico1",13,2,0.153846153846154,0,0,3,0.230769230769231,0,0,8,0.615384615384615,0,0
"1102","laudo1",12,1,0.0833333333333333,3,0.25,0,0,0,0,5,0.416666666666667,3,0.25
