"","lemma","Total","one_sg","pctA","two_sg","pctB","three_sg","pctC","one_pl","pctD","two_pl","pctE","three_pl","pctF","other","pct_other"
"1527","invenio1",33,5,0.151515151515152,3,0.0909090909090909,8,0.242424242424242,2,0.0606060606060606,0,0,4,0.121212121212121,0,0
"1541","irascor1",11,0,0,0,0,1,0.0909090909090909,0,0,0,0,0,0,1,1
"1550","jaceo1",18,0,0,3,0.166666666666667,8,0.444444444444444,0,0,0,0,3,0.166666666666667,1,1
"1558","jubeo",24,2,0.0833333333333333,0,0,14,0.583333333333333,0,0,0,0,1,0.0416666666666667,0,0
"1559","jubeo1",65,9,0.138461538461538,1,0.0153846153846154,41,0.630769230769231,3,0.0461538461538462,0,0,3,0.0461538461538462,0,0
"1562","judico1",17,2,0.117647058823529,3,0.176470588235294,8,0.470588235294118,0,0,0,0,0,0,0,0
"1567","juro1",12,2,0.166666666666667,1,0.0833333333333333,2,0.166666666666667,1,0.0833333333333333,0,0,0,0,1,1
"1572","labor1",15,0,0,0,0,0,0,0,0,0,0,1,0.0666666666666667,1,1
"1580","laedo1",11,1,0.0909090909090909,1,0.0909090909090909,3,0.272727272727273,0,0,0,0,1,0.0909090909090909,1,1
"1597","laudo",11,1,0.0909090909090909,2,0.181818181818182,2,0.181818181818182,0,0,0,0,0,0,1,1
"1598","laudo1",16,1,0.0625,0,0,5,0.3125,3,0.1875,0,0,3,0.1875,0,0
"1600","lavo1",12,1,0.0833333333333333,0,0,3,0.25,0,0,0,0,4,0.333333333333333,0,0
"1603","lego2",32,2,0.0625,4,0.125,9,0.28125,0,0,0,0,2,0.0625,0,0
"1615","licet1",19,0,0,0,0,19,1,0,0,0,0,0,0,0,0
"1626","loquor",34,3,0.0882352941176471,0,0,8,0.235294117647059,2,0.0588235294117647,0,0,5,0.147058823529412,0,0
"1627","loquor1",30,2,0.0666666666666667,2,0.0666666666666667,8,0.266666666666667,1,0.0333333333333333,0,0,0,0,1,1
"1646","malo1",22,10,0.454545454545455,1,0.0454545454545455,6,0.272727272727273,0,0,0,0,5,0.227272727272727,0,0
"1650","maneo1",16,0,0,2,0.125,6,0.375,1,0.0625,0,0,5,0.3125,0,0
"1664","memini1",15,2,0.133333333333333,2,0.133333333333333,3,0.2,2,0.133333333333333,2,0.133333333333333,2,0.133333333333333,0,0
